areaType,areaName,areaCode,date,newCasesByPublishDate,cumCasesByPublishDate
overview,United Kingdom,K02000001,2021-04-10,2589,4368045
overview,United Kingdom,K02000001,2021-04-09,3150,4365461
overview,United Kingdom,K02000001,2021-04-08,3030,4370321
overview,United Kingdom,K02000001,2021-04-07,2763,4367291
overview,United Kingdom,K02000001,2021-04-06,2379,4364529
overview,United Kingdom,K02000001,2021-04-05,2762,4362150
overview,United Kingdom,K02000001,2021-04-04,2297,4359388
overview,United Kingdom,K02000001,2021-04-03,3423,4357091
overview,United Kingdom,K02000001,2021-04-02,3402,4353668
overview,United Kingdom,K02000001,2021-04-01,4479,4350266
overview,United Kingdom,K02000001,2021-03-31,4052,4345788
overview,United Kingdom,K02000001,2021-03-30,4040,4341736
overview,United Kingdom,K02000001,2021-03-29,4654,4337696
overview,United Kingdom,K02000001,2021-03-28,3862,4333042
overview,United Kingdom,K02000001,2021-03-27,4715,4329180
overview,United Kingdom,K02000001,2021-03-26,6187,4325315
overview,United Kingdom,K02000001,2021-03-25,6397,4319128
overview,United Kingdom,K02000001,2021-03-24,5605,4312908
overview,United Kingdom,K02000001,2021-03-23,5379,4307304
overview,United Kingdom,K02000001,2021-03-22,5342,4301925
overview,United Kingdom,K02000001,2021-03-21,5312,4296583
overview,United Kingdom,K02000001,2021-03-20,5587,4291271
overview,United Kingdom,K02000001,2021-03-19,4802,4285684
overview,United Kingdom,K02000001,2021-03-18,6303,4280882
overview,United Kingdom,K02000001,2021-03-17,5758,4274579
overview,United Kingdom,K02000001,2021-03-16,5294,4268821
overview,United Kingdom,K02000001,2021-03-15,5089,4263527
overview,United Kingdom,K02000001,2021-03-14,4618,4258438
overview,United Kingdom,K02000001,2021-03-13,5534,4253820
overview,United Kingdom,K02000001,2021-03-12,6609,4248286
overview,United Kingdom,K02000001,2021-03-11,6753,4241677
overview,United Kingdom,K02000001,2021-03-10,5926,4234924
overview,United Kingdom,K02000001,2021-03-09,5766,4228998
overview,United Kingdom,K02000001,2021-03-08,4712,4223232
overview,United Kingdom,K02000001,2021-03-07,5177,4218520
overview,United Kingdom,K02000001,2021-03-06,6040,4213343
overview,United Kingdom,K02000001,2021-03-05,5947,4207304
overview,United Kingdom,K02000001,2021-03-04,6573,4201358
overview,United Kingdom,K02000001,2021-03-03,6385,4194785
overview,United Kingdom,K02000001,2021-03-02,6391,4188400
overview,United Kingdom,K02000001,2021-03-01,5455,4182009
overview,United Kingdom,K02000001,2021-02-28,6035,4176554
overview,United Kingdom,K02000001,2021-02-27,7434,4170519
overview,United Kingdom,K02000001,2021-02-26,8523,4163085
overview,United Kingdom,K02000001,2021-02-25,9985,4154562
overview,United Kingdom,K02000001,2021-02-24,9938,4144577
overview,United Kingdom,K02000001,2021-02-23,8489,4134639
overview,United Kingdom,K02000001,2021-02-22,10641,4126150
overview,United Kingdom,K02000001,2021-02-21,9834,4115509
overview,United Kingdom,K02000001,2021-02-20,10406,4105675
overview,United Kingdom,K02000001,2021-02-19,12027,4095269
overview,United Kingdom,K02000001,2021-02-18,12057,4083242
overview,United Kingdom,K02000001,2021-02-17,12718,4071185
overview,United Kingdom,K02000001,2021-02-16,10625,4058468
overview,United Kingdom,K02000001,2021-02-15,9765,4047843
overview,United Kingdom,K02000001,2021-02-14,10972,4038078
overview,United Kingdom,K02000001,2021-02-13,13308,4027106
overview,United Kingdom,K02000001,2021-02-12,15144,4013799
overview,United Kingdom,K02000001,2021-02-11,13494,3998655
overview,United Kingdom,K02000001,2021-02-10,13013,3985161
overview,United Kingdom,K02000001,2021-02-09,12364,3972148
overview,United Kingdom,K02000001,2021-02-08,14104,3959784
overview,United Kingdom,K02000001,2021-02-07,15845,3945680
overview,United Kingdom,K02000001,2021-02-06,18262,3929835
overview,United Kingdom,K02000001,2021-02-05,19114,3911573
overview,United Kingdom,K02000001,2021-02-04,20634,3892459
overview,United Kingdom,K02000001,2021-02-03,19202,3871825
overview,United Kingdom,K02000001,2021-02-02,16840,3852623
overview,United Kingdom,K02000001,2021-02-01,18607,3835783
overview,United Kingdom,K02000001,2021-01-31,21088,3817176
overview,United Kingdom,K02000001,2021-01-30,23275,3796088
overview,United Kingdom,K02000001,2021-01-29,29079,3772813
overview,United Kingdom,K02000001,2021-01-28,28680,3743734
overview,United Kingdom,K02000001,2021-01-27,25308,3715054
overview,United Kingdom,K02000001,2021-01-26,20089,3689746
overview,United Kingdom,K02000001,2021-01-25,22195,3669658
overview,United Kingdom,K02000001,2021-01-24,30004,3647463
overview,United Kingdom,K02000001,2021-01-23,33552,3617459
overview,United Kingdom,K02000001,2021-01-22,40261,3583907
overview,United Kingdom,K02000001,2021-01-21,37892,3543646
overview,United Kingdom,K02000001,2021-01-20,38905,3505754
overview,United Kingdom,K02000001,2021-01-19,33355,3466849
overview,United Kingdom,K02000001,2021-01-18,37535,3433494
overview,United Kingdom,K02000001,2021-01-17,38598,3395959
overview,United Kingdom,K02000001,2021-01-16,41346,3357361
overview,United Kingdom,K02000001,2021-01-15,55761,3316019
overview,United Kingdom,K02000001,2021-01-14,48682,3260258
overview,United Kingdom,K02000001,2021-01-13,47525,3211576
